Nome,Cognome,Nickname,Paese,Guadagni,Gioco,Genere
Thiago,Lapp,kinG,Argentina,1021000,Fortnite,Battle Royale
David,Wang,Aqua,Austria,1923774.23,Fortnite,Battle Royale
Klaus,Konstanzer,stompy,Austria,492271.94,Fortnite,Battle Royale
Thomas,Hörak,Tschiiinken,Austria,326176.94,Fortnite,Battle Royale
Anathan,Pham,ana,Australia,6000411.96,Dota 2,Multiplayer Online Battle Arena
Damien,Chok,kpii,Australia,1809225.3,Dota 2,Multiplayer Online Battle Arena
Scott,Kennedy,Custa,Australia,53759.68,Overwatch,First-Person Shooter
Liam,Simpson,Arcaner,Australia,57228,Heroes of the Storm,Multiplayer Online Battle Arena
Luke,Newey,Luke12,Australia,79049.82,PUBG,Battle Royale
Nikola,Kovač,NiKo,Bosnia,762802.56,Counter-Strike Global Offensive,First-Person Shooter
Adil,Benrlitom,ScreaM,Belgio,249663.46,Counter-Strike Global Offensive,First-Person Shooter
Gabriël,Rau,Bwipo,Belgio,287279.5,League of Legends,Multiplayer Online Battle Arena
Stephan,,Suezhoo,Belgio,341250,Fortnite,Battle Royale
Klaivert,Dervishi,Teeqzy,Belgio,179596.3,Fortnite,Battle Royale
Howard,Castiaux,Noward,Belgio,172385.27,Fortnite,Battle Royale
Cvetelin,Nikolov,CeRq,Bulgaria,375765.04,Counter-Strike Global Offensive,First-Person Shooter
Valentin,Vasilev,poiz0n,Bulgaria,260987.54,Counter-Strike Global Offensive,First-Person Shooter
Ivan,Ivanov,MinD_ContRoL,Bulgaria,4579118.16,Dota 2,Multiplayer Online Battle Arena
Zdravec,Gulubov,Hylissang,Bulgaria,325910.24,League of Legends,Multiplayer Online Battle Arena
Lyubomir,Kozlovski,Splendour,Bulgaria,106462.18,Heroes of the Storm,Multiplayer Online Battle Arena
Alexander,Milanov,ethernal,Bulgaria,93149.29,Heroes of the Storm,Multiplayer Online Battle Arena
Epitácio,de Melo,TACO,Brasile,1063858.27,Counter-Strike Global Offensive,First-Person Shooter
Fernando,Alvarenga,fer,Brasile,1063038.92,Counter-Strike Global Offensive,First-Person Shooter
Gabriel,Toledo,FalleN,Brasile,1059938.92,Counter-Strike Global Offensive,First-Person Shooter
Marcelo,David,coldzera,Brasile,1021901.46,Counter-Strike Global Offensive,First-Person Shooter
Lincoln,Lau,fnx,Brasile,387551.81,Counter-Strike Global Offensive,First-Person Shooter
Ricardo,Prass,boltz,Brasile,382208.97,Counter-Strike Global Offensive,First-Person Shooter
João,Vasconcellos,felps,Brasile,323127.22,Counter-Strike Global Offensive,First-Person Shooter
Henrique,Teles,hen1,Brasile,256374.45,Counter-Strike Global Offensive,First-Person Shooter
João Pedro,Telles,Hydration,Brasile,61460.24,Overwatch,First-Person Shooter
Artem,Barshack,fng,Bielorussia,591271.39,Dota 2,Multiplayer Online Battle Arena
Artur,Kurshin,7ssk7,Bielorussia,188358.03,Fortnite,Battle Royale
Keith,Markovic,NAF,Canada,982765.66,Counter-Strike Global Offensive,First-Person Shooter
Russel,Van Dulken,Twistzz,Canada,835376.43,Counter-Strike Global Offensive,First-Person Shooter
Peter,Jarguz,stanislaw,Canada,481487.38,Counter-Strike Global Offensive,First-Person Shooter
Damian,Steele,daps,Canada,260797.63,Counter-Strike Global Offensive,First-Person Shooter
Artour,Babaev,Arteezy,Canada,2257053.21,Dota 2,Multiplayer Online Battle Arena
Kurtis,Ling,Aui_2000,Canada,2006311.11,Dota 2,Multiplayer Online Battle Arena
Jacky,Mao,EternaLEnVy,Canada,987072.69,Dota 2,Multiplayer Online Battle Arena
David,Tan,MoonMeander,Canada,845345.4,Dota 2,Multiplayer Online Battle Arena
Jason,Tran,WildTurtle,Canada,182066.13,League of Legends,Multiplayer Online Battle Arena
Williams,Aubin,Zayt,Canada,1186189.75,Fortnite,Battle Royale
Tyler,-,hiimtylerh,Canada,341250,Fortnite,Battle Royale
William,Paquin-Brien,Fatch,Canada,228500,Fortnite,Battle Royale
Sean,Close,Sean,Canada,174733.33,Fortnite,Battle Royale
Evan,Barron,Cented,Canada,160410.62,Fortnite,Battle Royale
David,Bois,LeNain,Canada,158350,Fortnite,Battle Royale
Lane,Roberts,Surefour,Canada,82724.04,Overwatch,First-Person Shooter
Brady,Girardi,Agilities,Canada,62069.85,Overwatch,First-Person Shooter
Joe,Gramano,Joemeister,Canada,55676.28,Overwatch,First-Person Shooter
Francisco,Avalos,Goku,Canada,64112.6,Heroes of the Storm,Multiplayer Online Battle Arena
Kyle,Belaiche,Prismaticism,Canada,60502.6,Heroes of the Storm,Multiplayer Online Battle Arena
Jerome,Tanguay,KilluZiioN,Canada,56726.85,Heroes of the Storm,Multiplayer Online Battle Arena
Merek,Kangas,zugrug,Canada,51636.85,Heroes of the Storm,Multiplayer Online Battle Arena
Luke,Laing,Meluke,Canada,159650.52,PUBG,Battle Royale
Thierry,Kaltenback,Kaymind,Canada,113573,PUBG,Battle Royale
Mehmood Amin,Askar,Moody,Canada,81360.5,PUBG,Battle Royale
Cedrik,Lessard,DrasseL,Canada,58295.94,PUBG,Battle Royale
Duong,Huynh,Kinstaar,Svizzera,414258.4,Fortnite,Battle Royale
Pierre,Mesey,Vato,Svizzera,285707.09,Fortnite,Battle Royale
Karim,Benghalia,Aïrwaks,Svizzera,176598.27,Fortnite,Battle Royale
HaoWen,Xu,somebody,Cina,242273.51,Counter-Strike Global Offensive,First-Person Shooter
Lu,Yao,Somnus丶M,Cina,2984982.14,Dota 2,Multiplayer Online Battle Arena
Linsen,Xu,fy,Cina,2894690.34,Dota 2,Multiplayer Online Battle Arena
Chunyu,Wang,Ame,Cina,2244012.27,Dota 2,Multiplayer Online Battle Arena
Zhang,Yiping,y`,Cina,2097095.28,Dota 2,Multiplayer Online Battle Arena
Zhang,Ruida,Faith_bian,Cina,2078534.86,Dota 2,Multiplayer Online Battle Arena
Peng,Li,iceice,Cina,2002159.51,Dota 2,Multiplayer Online Battle Arena
Chu,Zeyu,Shadow,Cina,1982225.7,Dota 2,Multiplayer Online Battle Arena
Zhou,Yang,bLink,Cina,1960956.47,Dota 2,Multiplayer Online Battle Arena
Shenyi,Yang,Chalice,Cina,1848849.88,Dota 2,Multiplayer Online Battle Arena
Ning,Zhang,xiao8,Cina,1830094.33,Dota 2,Multiplayer Online Battle Arena
Liangzhi,Hu,KaKa,Cina,1787083.53,Dota 2,Multiplayer Online Battle Arena
Zhihao,Chen,Hao,Cina,1755205.74,Dota 2,Multiplayer Online Battle Arena
Hongda,Zeng,Faith,Cina,1745944.26,Dota 2,Multiplayer Online Battle Arena
Junhao,Xie,Super,Cina,1598492.49,Dota 2,Multiplayer Online Battle Arena
Chao,Lu,Fenrir,Cina,1402208.92,Dota 2,Multiplayer Online Battle Arena
Pan,Zhang,Mu,Cina,1386339.43,Dota 2,Multiplayer Online Battle Arena
Zhicheng,Zhang,LaNm,Cina,1348804.67,Dota 2,Multiplayer Online Battle Arena
Chun,Song,Sccc,Cina,1272450.74,Dota 2,Multiplayer Online Battle Arena
Wang,Jiao,Banana,Cina,1271085,Dota 2,Multiplayer Online Battle Arena
Xu,Han,Moogy,Cina,1221917.1,Dota 2,Multiplayer Online Battle Arena
Jiajun,Liu,Sylar,Cina,1212757.14,Dota 2,Multiplayer Online Battle Arena
Ren,Yangwei,eLeVeN,Cina,1211710.47,Dota 2,Multiplayer Online Battle Arena
Zhaohui,Wang,SanSheng,Cina,1202225.88,Dota 2,Multiplayer Online Battle Arena
Zhengzheng,Yao,Yao,Cina,1186002.61,Dota 2,Multiplayer Online Battle Arena
Zengrong,Lei,MMY!,Cina,1100271.44,Dota 2,Multiplayer Online Battle Arena
Bin,Fu,Q,Cina,1081544.74,Dota 2,Multiplayer Online Battle Arena
Chengjun,Zhang,Paparazi,Cina,1001723.8,Dota 2,Multiplayer Online Battle Arena
Zheng,Sun,Agressif,Cina,871452.21,Dota 2,Multiplayer Online Battle Arena
Zhilei,Xu,BurNIng,Cina,865656.21,Dota 2,Multiplayer Online Battle Arena
Jiaoyang,Zeng,Ori,Cina,830696.89,Dota 2,Multiplayer Online Battle Arena
Haiyang,Zhou,Yang,Cina,821961.68,Dota 2,Multiplayer Online Battle Arena
Peng,Du,Monet,Cina,813169.73,Dota 2,Multiplayer Online Battle Arena
Fan,Bai,rOtK,Cina,780761.31,Dota 2,Multiplayer Online Battle Arena
Xinzhou,Liu,garder,Cina,705536.2,Dota 2,Multiplayer Online Battle Arena
Zezhi,Chen,Xz,Cina,692327.42,Dota 2,Multiplayer Online Battle Arena
Jiwei,Huang,Shiki,Cina,653514.33,Dota 2,Multiplayer Online Battle Arena
Pan,Yi,Fade,Cina,641178.98,Dota 2,Multiplayer Online Battle Arena
Yongzheng,He,Inflame,Cina,601854.15,Dota 2,Multiplayer Online Battle Arena
Cong,Ding,Dy,Cina,594922.51,Dota 2,Multiplayer Online Battle Arena
Wen Bo,Yu,JackeyLove,Cina,682248.64,League of Legends,Multiplayer Online Battle Arena
Zhen Ning,Gao,Ning,Cina,566607.87,League of Legends,Multiplayer Online Battle Arena
Liu Yi,Wang,Baolan,Cina,548235.82,League of Legends,Multiplayer Online Battle Arena
Zihao,Jian,Uzi,Cina,545447.56,League of Legends,Multiplayer Online Battle Arena
Yuan Hao,Li,xiaohu,Cina,507800.58,League of Legends,Multiplayer Online Battle Arena
Shi Yu,Liu,Mlxg,Cina,472216.01,League of Legends,Multiplayer Online Battle Arena
Kai,Ming,ClearLove,Cina,471086.78,League of Legends,Multiplayer Online Battle Arena
Sen Ming,Shi,Ming,Cina,379664.5,League of Legends,Multiplayer Online Battle Arena
Jun Ze,Yan,letme,Cina,360201.28,League of Legends,Multiplayer Online Battle Arena
Ye,Tian,Meiko,Cina,337832.12,League of Legends,Multiplayer Online Battle Arena
Wei Xiang,Lin,Lwx,Cina,271901.75,League of Legends,Multiplayer Online Battle Arena
Tian Liang,Gao,Tian,Cina,268282.03,League of Legends,Multiplayer Online Battle Arena
Qing Song,Liu,Crisp,Cina,265601.98,League of Legends,Multiplayer Online Battle Arena
Yang,Tong,Koro1,Cina,260755.41,League of Legends,Multiplayer Online Battle Arena
Han Wei,Su,xiye,Cina,206587.79,League of Legends,Multiplayer Online Battle Arena
Yu Hao,Chen,Mouse,Cina,198089.09,League of Legends,Multiplayer Online Battle Arena
Zhihao,Liu,Zzitai,Cina,191889.12,League of Legends,Multiplayer Online Battle Arena
Ding,Zhuo,Knight,Cina,180858.29,League of Legends,Multiplayer Online Battle Arena
Jia Hao,Bai,369,Cina,173098.69,League of Legends,Multiplayer Online Battle Arena
Zhuojun,Feng,Fzzf,Cina,164821.18,League of Legends,Multiplayer Online Battle Arena
Ren Jie,Xiang,Condi,Cina,161938.75,League of Legends,Multiplayer Online Battle Arena
Chang Yu,Ke,957,Cina,159402.36,League of Legends,Multiplayer Online Battle Arena
Weida,Lu,Diya,Cina,83845.32,Overwatch,First-Person Shooter
Xu,Qiulin,guxue,Cina,59154.54,Overwatch,First-Person Shooter
Lunhan,Kang,XingC,Cina,122420.01,Heroes of the Storm,Multiplayer Online Battle Arena
Hanfei,Chen,Tiger,Cina,114207.06,Heroes of the Storm,Multiplayer Online Battle Arena
Kun,Fang,iDream,Cina,112337.16,Heroes of the Storm,Multiplayer Online Battle Arena
Zhihao,Wu,Tumi,Cina,112170.41,Heroes of the Storm,Multiplayer Online Battle Arena
Xiangzhi,Zheng,melodyC,Cina,106288.65,Heroes of the Storm,Multiplayer Online Battle Arena
Tuo,Li,NccCc,Cina,97833.37,Heroes of the Storm,Multiplayer Online Battle Arena
Lizhong,Zhou,Misaka,Cina,90136.72,Heroes of the Storm,Multiplayer Online Battle Arena
Li Wei,Sun,xiaOt,Cina,88040.91,Heroes of the Storm,Multiplayer Online Battle Arena
Guo,Jiayi,Gemini,Cina,87834.52,Heroes of the Storm,Multiplayer Online Battle Arena
Hao,Pu,m,Cina,86588.9,Heroes of the Storm,Multiplayer Online Battle Arena
Jing,Gu,Aloof,Cina,75648.35,Heroes of the Storm,Multiplayer Online Battle Arena
Jize,Song,sk,Cina,75380.4,Heroes of the Storm,Multiplayer Online Battle Arena
Jing,Chen,Xuyu,Cina,69791.28,Heroes of the Storm,Multiplayer Online Battle Arena
Zhihao,Zhang,zZH,Cina,60952.31,Heroes of the Storm,Multiplayer Online Battle Arena
Tianze,Chen,canjian,Cina,58569.42,Heroes of the Storm,Multiplayer Online Battle Arena
Qian,Li,Qx,Cina,57198.2,Heroes of the Storm,Multiplayer Online Battle Arena
Jiawei,Zhang,Kty,Cina,52978.13,Heroes of the Storm,Multiplayer Online Battle Arena
Gu,Junfeng,Wind,Cina,50549.34,Heroes of the Storm,Multiplayer Online Battle Arena
Hao,Yao,lionkk,Cina,205477.15,PUBG,Battle Royale
Yan,Wang,silentBT_,Cina,181549.66,PUBG,Battle Royale
Jinhai,Zhang,xiaohaixxxx,Cina,179906.29,PUBG,Battle Royale
Zhen,Wei,GodV,Cina,164612.66,PUBG,Battle Royale
Liangguang,Liao,xiaorong,Cina,163976.97,PUBG,Battle Royale
Zheng,Wu,Forever,Cina,119560.82,PUBG,Battle Royale
Xin,Wang,ZGGO1,Cina,112482.56,PUBG,Battle Royale
Daying,Wei,xxxLu,Cina,105935.34,PUBG,Battle Royale
Chuan,Yu,Summer,Cina,86922.9,PUBG,Battle Royale
Kang,Wang,shou,Cina,78178.8,PUBG,Battle Royale
Jiang Hua,Chen,shox,Cina,78178.8,PUBG,Battle Royale
Qicheng,Chen,BoLiang,Cina,67742.92,PUBG,Battle Royale
Xin,Lin,L1nnnn,Cina,67742.92,PUBG,Battle Royale
Ruilong,Deng,LongSkr,Cina,67742.92,PUBG,Battle Royale
Bohang,Li,JiaoYang,Cina,64373.86,PUBG,Battle Royale
,,Tide,Cina,64304.93,PUBG,Battle Royale
Yu-Ze,Sun,CPT,Cina,63636.03,PUBG,Battle Royale
,,DouM,Cina,62114.15,PUBG,Battle Royale
,,DJBOY,Cina,62114.15,PUBG,Battle Royale
,,LinShuNN,Cina,58710.01,PUBG,Battle Royale
Xin-hao,Pan,BaoLeiNB,Cina,58381.6,PUBG,Battle Royale
Pengcheng,Wang,jiaozhu,Cina,57157.65,PUBG,Battle Royale
Boyuan,Wang,Wang88,Cina,56537.65,PUBG,Battle Royale
,,Qmccc,Cina,55099.91,PUBG,Battle Royale
,,Dongdong,Cina,50678.6,PUBG,Battle Royale
,,067QAQ,Cina,48617.5,PUBG,Battle Royale
Daniel,Hernandez,Sharpshothd,Cuba,77092.86,PUBG,Battle Royale
,,oskar,Repubblica Ceca,335508.19,Counter-Strike Global Offensive,First-Person Shooter
Johannes,Wodarz,tabseN,Germania,247248.57,Counter-Strike Global Offensive,First-Person Shooter
Kuro,Takhasomi,KuroKy,Germania,5193382.81,Dota 2,Multiplayer Online Battle Arena
Adrian,Trinks,FATA,Germania,1314968.82,Dota 2,Multiplayer Online Battle Arena
Liam,Fillery,Kamo,Germania,197139.97,Fortnite,Battle Royale
Fabian,Real,Derox,Germania,195617.67,Fortnite,Battle Royale
Jannis,Matwin,JannisZ,Germania,188212.42,Fortnite,Battle Royale
Kevin,Fedjuschkin,Letshe,Germania,135928.06,Fortnite,Battle Royale
Dennis,Schneider,HasuObs,Germania,110050.76,Heroes of the Storm,Multiplayer Online Battle Arena
Ben,Bunk,Cattlepillar,Germania,105541.2,Heroes of the Storm,Multiplayer Online Battle Arena
Nils,Gebhardt,Nurok,Germania,102971.54,Heroes of the Storm,Multiplayer Online Battle Arena
Simon,Tabin,Darkmok,Germania,85535.96,Heroes of the Storm,Multiplayer Online Battle Arena
Dominic,Asal,Nic,Germania,69829.77,Heroes of the Storm,Multiplayer Online Battle Arena
Markus,Hanke,Blumbi,Germania,65525.96,Heroes of the Storm,Multiplayer Online Battle Arena
Christoph,Gowitzke,Cris,Germania,65516.28,Heroes of the Storm,Multiplayer Online Battle Arena
Magnus,Hartmann,udyRR,Germania,49761.3,PUBG,Battle Royale
René,Rehling,Braexco,Germania,49471.55,PUBG,Battle Royale
Peter,Rasmussen,dupreeh,Danimarca,1822989.41,Counter-Strike Global Offensive,First-Person Shooter
Andreas,Højsleth,Xyp9x,Danimarca,1799288.57,Counter-Strike Global Offensive,First-Person Shooter
Nicolai,Reedtz,dev1ce,Danimarca,1787489.88,Counter-Strike Global Offensive,First-Person Shooter
Lukas,Rossander,gla1ve,Danimarca,1652350.75,Counter-Strike Global Offensive,First-Person Shooter
Emil,Reif,Magisk,Danimarca,1416448.64,Counter-Strike Global Offensive,First-Person Shooter
Finn,Andersen,karrigan,Danimarca,964635.39,Counter-Strike Global Offensive,First-Person Shooter
Markus,Kjærbye,Kjaerbye,Danimarca,617000.5,Counter-Strike Global Offensive,First-Person Shooter
Renè,Borg,cajunb,Danimarca,417465.86,Counter-Strike Global Offensive,First-Person Shooter
Kristian,Wienecke,k0nfig,Danimarca,403005.81,Counter-Strike Global Offensive,First-Person Shooter
Mathias,Lauridsen,MSL,Danimarca,349557.33,Counter-Strike Global Offensive,First-Person Shooter
Philip,Aistrup,aizy,Danimarca,332671.67,Counter-Strike Global Offensive,First-Person Shooter
Valdemar,Vangså,Valde,Danimarca,323423.04,Counter-Strike Global Offensive,First-Person Shooter
Johan,Sundstein,N0tail,Danimarca,6952596.58,Dota 2,Multiplayer Online Battle Arena
Andreas,Nielsen,Cr1t,Danimarca,2007841.6,Dota 2,Multiplayer Online Battle Arena
Rasmus,Fillipsen,MiSeRy,Danimarca,1484921.92,Dota 2,Multiplayer Online Battle Arena
Marcus,Hoelgaard,Ace,Danimarca,734369.52,Dota 2,Multiplayer Online Battle Arena
Rasmus,Winther,Caps,Danimarca,458259.05,League of Legends,Multiplayer Online Battle Arena
Martin,Hansen,Wunder,Danimarca,336306.24,League of Legends,Multiplayer Online Battle Arena
Mads,Brock-Pedersen,Broxah,Danimarca,313654.08,League of Legends,Multiplayer Online Battle Arena
Nicolaj,Jensen,Jensen,Danimarca,265283.06,League of Legends,Multiplayer Online Battle Arena
Dennis,Johnsen,Svenskeren,Danimarca,257257.41,League of Legends,Multiplayer Online Battle Arena
Jesper,Svenningsen,Zven,Danimarca,250580.01,League of Legends,Multiplayer Online Battle Arena
Søren,Bjerg,Bjergsen,Danimarca,250222.7,League of Legends,Multiplayer Online Battle Arena
,,Zand,Danimarca,341250,Fortnite,Battle Royale
Adam,Boyer-Dræby,Boyer,Danimarca,210575.84,Fortnite,Battle Royale
Thomas,Davidsen,Th0masHD,Danimarca,188090,Fortnite,Battle Royale
Jonas Colkær,Thomsen,Klusia,Danimarca,136810,Fortnite,Battle Royale
Kenn Øster,Rasmussen,Zaelia,Danimarca,147500,Heroes of the Storm,Multiplayer Online Battle Arena
Alexander,Grumstrup,AlexTheProG,Danimarca,83962.45,Heroes of the Storm,Multiplayer Online Battle Arena
Martin,Rugh,Crozzby,Danimarca,50545.96,Heroes of the Storm,Multiplayer Online Battle Arena
Gustav,Blønd,GustavQQ,Danimarca,66517.5,PUBG,Battle Royale
Mathias,Larsen,Larsen,Danimarca,61350,PUBG,Battle Royale
Sebastian,Berendt,BALLOC,Danimarca,47090,PUBG,Battle Royale
Robin,Kool,ropz,Estonia,506010.74,Counter-Strike Global Offensive,First-Person Shooter
Clement,Ivanov,Puppey,Estonia,2864004.17,Dota 2,Multiplayer Online Battle Arena
Oscar,Cañellas,mixwell,Spagna,247538.65,Counter-Strike Global Offensive,First-Person Shooter
Alfonso,Aguirre Rodriguez,Mithy,Spagna,252718.89,League of Legends,Multiplayer Online Battle Arena
Enrique,Cedeño Martinez,xPeke,Spagna,166127.4,League of Legends,Multiplayer Online Battle Arena
Alberto,Gonzales Molinillo,neptuNo,Spagna,67619.01,Overwatch,First-Person Shooter
Jonathan,Rua,HarryHook,Spagna,58718.69,Overwatch,First-Person Shooter
Aleksi,Jalli,allu,Finlandia,418492.59,Counter-Strike Global Offensive,First-Person Shooter
Miikka,Kemppi,suNny,Finlandia,326080,Counter-Strike Global Offensive,First-Person Shooter
Aleksi,Virolainen,Aleksib,Finlandia,276730.92,Counter-Strike Global Offensive,First-Person Shooter
Jesse,Vainikka,JerAx,Finlandia,6470000.02,Dota 2,Multiplayer Online Battle Arena
Topias,Taavitsainen,Topson,Finlandia,5470902.57,Dota 2,Multiplayer Online Battle Arena
Lasse,Urpalainen,Matumbaman,Finlandia,3765369.04,Dota 2,Multiplayer Online Battle Arena
Lassi,Kallio,BELAEU,Finlandia,178610,Fortnite,Battle Royale
Jonas,Suovaara,Shaz,Finlandia,77723.5,Overwatch,First-Person Shooter
Benjamin,Isohanni,BigG00se,Finlandia,77014.11,Overwatch,First-Person Shooter
Joona,Laine,fragi,Finlandia,70255.34,Overwatch,First-Person Shooter
Timo,Kettunen,Taimou,Finlandia,61027.02,Overwatch,First-Person Shooter
Anssi,Pekkonen,mxey,Finlandia,341362.75,PUBG,Battle Royale
Samu,Kauppinen,Sambty,Finlandia,242483.15,PUBG,Battle Royale
